data_date_utc,observed_at,language,bytes
2026-09-22,2026-09-23T06:57:33Z,Batchfile,2491
2026-09-22,2026-09-23T06:57:33Z,Go Template,2777
2026-09-22,2026-09-23T06:57:33Z,Inno Setup,1728
2026-09-22,2026-09-23T06:57:33Z,PowerShell,6166
2026-09-22,2026-09-23T06:57:33Z,Python,7281992
2026-09-22,2026-09-23T06:57:33Z,Shell,630
2026-09-23,2026-09-24T06:55:48Z,Batchfile,2491
2026-09-23,2026-09-24T06:55:48Z,Go Template,2777
2026-09-23,2026-09-24T06:55:48Z,Inno Setup,1728
2026-09-23,2026-09-24T06:55:48Z,PowerShell,6166
2026-09-23,2026-09-24T06:55:48Z,Python,7281992
2026-09-23,2026-09-24T06:55:48Z,Shell,630
