activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2025-05-25,5,5,0,2026-09-22T20:28:31Z
2025-05-29,6,6,0,2026-09-22T20:28:31Z
2025-05-30,9,9,0,2026-09-22T20:28:31Z
2025-06-02,2,2,0,2026-09-22T20:28:31Z
2025-06-03,5,5,0,2026-09-22T20:28:31Z
2025-06-04,6,6,0,2026-09-22T20:28:31Z
2025-06-05,9,9,0,2026-09-22T20:28:31Z
2025-06-06,2,2,0,2026-09-22T20:28:31Z
2025-06-07,6,7,0,2026-09-22T20:28:31Z
2025-06-08,7,7,0,2026-09-22T20:28:31Z
2025-06-10,2,2,0,2026-09-22T20:28:31Z
2025-06-11,1,1,0,2026-09-22T20:28:31Z
2025-06-28,11,11,0,2026-09-22T20:28:31Z
2025-06-29,7,7,0,2026-09-22T20:28:31Z
2025-07-15,6,6,0,2026-09-22T20:28:31Z
2025-07-16,2,2,0,2026-09-22T20:28:31Z
2025-07-22,3,3,0,2026-09-22T20:28:31Z
2025-07-23,4,4,0,2026-09-22T20:28:31Z
2025-08-03,1,1,0,2026-09-22T20:28:31Z
2025-08-04,1,1,0,2026-09-22T20:28:31Z
2025-08-07,3,3,0,2026-09-22T20:28:31Z
2025-08-09,1,1,0,2026-09-22T20:28:31Z
2025-08-11,3,3,0,2026-09-22T20:28:31Z
2025-08-13,1,1,0,2026-09-22T20:28:31Z
2025-08-14,1,1,0,2026-09-22T20:28:31Z
2025-08-26,8,8,0,2026-09-22T20:28:31Z
2025-09-01,1,1,0,2026-09-22T20:28:31Z
2025-09-03,10,10,0,2026-09-22T20:28:31Z
2025-09-04,5,5,0,2026-09-22T20:28:31Z
2025-09-05,10,10,0,2026-09-22T20:28:31Z
2025-09-08,2,2,0,2026-09-22T20:28:31Z
2025-09-09,10,10,0,2026-09-22T20:28:31Z
2025-09-10,6,6,0,2026-09-22T20:28:31Z
2025-09-11,2,2,0,2026-09-22T20:28:31Z
2026-01-03,2,2,0,2026-09-22T20:28:31Z
2026-02-28,1,1,0,2026-09-22T20:28:31Z
