traffic_date_utc,count,uniques,last_observed_at
2026-09-08,0,0,2026-09-22T20:28:31Z
2026-09-09,0,0,2026-09-24T06:55:48Z
2026-09-10,115,1,2026-09-25T06:50:11Z
2026-09-11,17,1,2026-09-25T06:50:11Z
2026-09-12,0,0,2026-09-25T06:50:11Z
2026-09-13,2,1,2026-09-25T06:50:11Z
2026-09-14,12,1,2026-09-25T06:50:11Z
2026-09-15,0,0,2026-09-25T06:50:11Z
2026-09-16,0,0,2026-09-25T06:50:11Z
2026-09-17,0,0,2026-09-25T06:50:11Z
2026-09-18,0,0,2026-09-25T06:50:11Z
2026-09-19,0,0,2026-09-25T06:50:11Z
2026-09-20,0,0,2026-09-25T06:50:11Z
2026-09-21,0,0,2026-09-25T06:50:11Z
2026-09-22,5,1,2026-09-25T06:50:11Z
2026-09-23,0,0,2026-09-25T06:50:11Z
