traffic_date_utc,count,uniques,last_observed_at
2026-09-08,0,0,2026-09-22T20:28:31Z
2026-09-09,0,0,2026-09-23T06:57:33Z
2026-09-10,171,56,2026-09-25T06:50:11Z
2026-09-11,213,83,2026-09-25T06:50:11Z
2026-09-12,95,49,2026-09-25T06:50:11Z
2026-09-13,28,17,2026-09-25T06:50:11Z
2026-09-14,2,2,2026-09-25T06:50:11Z
2026-09-15,177,76,2026-09-25T06:50:11Z
2026-09-16,20,14,2026-09-25T06:50:11Z
2026-09-17,72,41,2026-09-25T06:50:11Z
2026-09-18,0,0,2026-09-25T06:50:11Z
2026-09-19,1,1,2026-09-25T06:50:11Z
2026-09-20,0,0,2026-09-25T06:50:11Z
2026-09-21,0,0,2026-09-25T06:50:11Z
2026-09-22,0,0,2026-09-25T06:50:11Z
2026-09-23,4,4,2026-09-25T06:50:11Z
