traffic_date_utc,count,uniques,last_observed_at
2026-09-08,0,0,2026-09-22T20:28:31Z
2026-09-09,0,0,2026-09-23T06:57:33Z
2026-09-10,146,54,2026-09-23T06:57:33Z
2026-09-11,49,29,2026-09-23T06:57:33Z
2026-09-12,8,5,2026-09-23T06:57:33Z
2026-09-13,19,12,2026-09-23T06:57:33Z
2026-09-14,44,23,2026-09-23T06:57:33Z
2026-09-15,2,2,2026-09-23T06:57:33Z
2026-09-16,2,2,2026-09-23T06:57:33Z
2026-09-17,5,4,2026-09-23T06:57:33Z
2026-09-18,1,1,2026-09-23T06:57:33Z
2026-09-19,0,0,2026-09-23T06:57:33Z
2026-09-20,1,1,2026-09-23T06:57:33Z
2026-09-21,1,1,2026-09-23T06:57:33Z
2026-09-22,1,1,2026-09-23T06:57:33Z
