activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-06-24,2,154,0,2026-09-26T06:50:11Z
2026-06-25,1,26,0,2026-09-26T06:50:11Z
2026-06-27,10,89,0,2026-09-26T06:50:11Z
2026-06-29,1,9,0,2026-09-26T06:50:11Z
2026-07-02,1,1,0,2026-09-26T06:50:11Z
2026-07-06,1,6,0,2026-09-26T06:50:11Z
2026-07-09,1,3,0,2026-09-26T06:50:11Z
2026-07-12,1,13,0,2026-09-26T06:50:11Z
2026-07-17,1,15,0,2026-09-26T06:50:11Z
2026-07-30,1,1,0,2026-09-26T06:50:11Z
2026-08-03,1,4,0,2026-09-26T06:50:11Z
2026-08-05,1,10,0,2026-09-26T06:50:11Z
