activity_date_utc,commits,changed_file_occurrences,commits_with_unknown_changed_files,last_observed_at
2026-01-28,3,40,0,2026-09-25T06:50:11Z
2026-01-29,4,5,0,2026-09-25T06:50:11Z
2026-02-03,15,63,0,2026-09-25T06:50:11Z
2026-02-05,23,76,0,2026-09-25T06:50:11Z
2026-02-13,3,6,0,2026-09-25T06:50:11Z
2026-02-16,10,24,0,2026-09-25T06:50:11Z
2026-02-18,6,7,0,2026-09-25T06:50:11Z
2026-04-24,2,2,0,2026-09-25T06:50:11Z
2026-05-20,5,15,0,2026-09-25T06:50:11Z
2026-05-25,8,55,0,2026-09-25T06:50:11Z
2026-05-26,8,56,0,2026-09-25T06:50:11Z
2026-05-27,9,50,0,2026-09-25T06:50:11Z
2026-05-28,3,34,0,2026-09-25T06:50:11Z
2026-05-29,2,31,0,2026-09-25T06:50:11Z
2026-05-30,3,28,0,2026-09-25T06:50:11Z
2026-05-31,2,45,0,2026-09-25T06:50:11Z
2026-06-03,3,20,0,2026-09-25T06:50:11Z
2026-06-04,12,71,0,2026-09-25T06:50:11Z
2026-06-05,4,20,0,2026-09-25T06:50:11Z
2026-06-06,1,19,0,2026-09-25T06:50:11Z
2026-06-07,13,321,0,2026-09-25T06:50:11Z
2026-06-19,7,176,0,2026-09-25T06:50:11Z
2026-06-24,2,175,0,2026-09-25T06:50:11Z
2026-06-27,3,2,0,2026-09-25T06:50:11Z
2026-08-03,2,34,0,2026-09-25T06:50:11Z
2026-08-04,2,12,0,2026-09-25T06:50:11Z
2026-08-05,5,157,0,2026-09-25T06:50:11Z
2026-08-06,4,108,0,2026-09-25T06:50:11Z
2026-08-07,3,112,0,2026-09-25T06:50:11Z
2026-08-19,3,47,0,2026-09-25T06:50:11Z
